,can_rate,image,num_votes,rating,tconst,title,type,year
12,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMTI1Nzk1MzQwMV5BMl5BanBnXkFtZTYwODkxOTA5._V1_.jpg', u'width': 331, u'height': 475}",1239762,8.8,tt0109830,Forrest Gump,feature,1994
13,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg', u'width': 700, u'height': 1037}",1455311,8.8,tt1375666,Inception,feature,2010
10,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1_.jpg', u'width': 342, u'height': 500}",1229882,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,feature,2001
11,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMjE2MzQwMTgxN15BMl5BanBnXkFtZTcwMDQzNjk2OQ@@._V1_.jpg', u'width': 338, u'height': 500}",830523,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,feature,1980
18,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1_.jpg', u'width': 1354, u'height': 1900}",227402,8.7,tt0047478,Seven Samurai,feature,1954
20,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMjA4ODQ3ODkzNV5BMl5BanBnXkFtZTYwOTc4NDI3._V1_.jpg', u'width': 400, u'height': 593}",529453,8.7,tt0317248,City of God,feature,2002
19,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BOTIyMDY2NGQtOGJjNi00OTk4LWFhMDgtYmE3M2NiYzM0YTVmXkEyXkFqcGdeQXVyNTU1NTcwOTk@._V1_.jpg', u'width': 831, u'height': 1270}",903984,8.7,tt0076759,Star Wars: Episode IV - A New Hope,feature,1977
14,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_.jpg', u'width': 350, u'height': 512}",1091988,8.7,tt0167261,The Lord of the Rings: The Two Towers,feature,2002
17,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMTkxNDYxOTA4M15BMl5BanBnXkFtZTgwNTk0NzQxMTE@._V1_.jpg', u'width': 334, u'height': 500}",1208285,8.7,tt0133093,The Matrix,feature,1999
16,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMTY2OTE5MzQ3MV5BMl5BanBnXkFtZTgwMTY2NTYxMTE@._V1_.jpg', u'width': 337, u'height': 500}",722749,8.7,tt0099685,Goodfellas,feature,1990
15,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMTk5OTA4NTc0NF5BMl5BanBnXkFtZTcwNzI5Mzg3OA@@._V1_.jpg', u'width': 375, u'height': 500}",674923,8.7,tt0073486,One Flew Over the Cuckoo's Nest,feature,1975
37,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMjAyMTkxNjI5OF5BMl5BanBnXkFtZTYwMjI2MjA5._V1_.jpg', u'width': 347, u'height': 475}",141610,8.6,tt0027977,Modern Times,feature,1936
36,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg', u'width': 1382, u'height': 2048}",497706,8.6,tt1675434,The Intouchables,feature,2011
29,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BNjczODkxNTAxN15BMl5BanBnXkFtZTcwMTcwNjUxMw@@._V1_.jpg', u'width': 368, u'height': 500}",873781,8.6,tt0120815,Saving Private Ryan,feature,1998
34,True,"{u'url': u'http://ia.media-imdb.com/images/M/MV5BMjA3NDQ5MDMzOV5BMl5BanBnXkFtZTgwODY2MjcyMjE@._V1_.jpg', u'width': 320, u'height': 476}",107142,8.6,tt0021749,City Lights,feature,1931
